steps,time,reward,delta,converged
1,0.010000000000218279,-0.13461538461538464,1.0003047856703453,False
2,0.0,-0.12093023255813956,1.0003047856703453,False
3,0.0,-0.19999999999999998,1.0004542581238929,False
4,0.0,-0.10967741935483853,1.0004542581238929,False
5,0.0,-0.14736842105263162,1.0004542581238929,False
6,0.0,-0.11285714285714274,1.0005149065830823,False
7,0.0,-0.13750000000000004,1.0005149065830823,False
8,0.0,-0.11914893617021276,1.0005149065830823,False
9,0.0,-0.10789473684210506,1.0005149065830823,False
10,0.0,-0.14736842105263162,1.0005149065830823,False
11,0.0,-0.11730769230769227,1.0005149065830823,False
12,0.010000000000218279,-0.11499999999999992,1.0005149065830823,False
13,0.0,-0.12250000000000005,1.0005149065830823,False
14,0.0,-0.16923076923076924,1.0005149065830823,False
15,0.0,-0.19,1.0005149065830823,False
16,0.010000000000218279,-0.11914893617021276,1.0005149065830823,False
17,0.0,-0.12093023255813956,1.0005149065830823,False
18,0.010000000000218279,-0.13214285714285717,1.0005149065830823,False
19,0.010000000000218279,-0.1074380165289254,1.0005149065830823,False
20,0.0,-0.13214285714285717,1.0005149065830823,False
21,0.009999999999308784,-0.11011235955056163,1.0005149065830823,False
22,0.0,-0.27999999999999997,1.0005149065830823,False
23,0.010000000000218279,-0.12368421052631584,1.0005149065830823,False
24,0.0,-0.12727272727272732,1.0005149065830823,False
25,0.010000000000218279,-0.10692307692307669,1.0005149065830823,False
26,0.010000000000218279,-0.10731707317073148,1.0005149065830823,False
27,0.0,-0.11836734693877549,1.0005149065830823,False
28,0.0,-0.13333333333333336,1.0005149065830823,False
29,0.010000000000218279,-0.12045454545454547,1.0005149065830823,False
30,0.0,-0.13461538461538464,1.0005149065830823,False
31,0.010000000000218279,-0.13600000000000004,1.0005149065830823,False
32,0.0,-0.12045454545454547,1.0005149065830823,False
33,0.010000000000218279,-0.13000000000000003,1.0005149065830823,False
34,0.0,-0.17499999999999996,1.0005149065830823,False
35,0.0,-0.11874999999999998,1.0005149065830823,False
36,0.0,-0.15000000000000002,1.0005149065830823,False
37,0.0,-0.11304347826086944,1.0005149065830823,False
38,0.0,-0.13103448275862073,1.0005149065830823,False
39,0.010000000000218279,-0.10548780487804854,1.000565210321092,False
40,0.0,-0.14285714285714288,1.000565210321092,False
41,0.009999999999308784,-0.10756302521008382,1.000565210321092,False
42,0.010000000000218279,-0.111392405063291,1.000565210321092,False
43,0.0,-0.12500000000000006,1.000565210321092,False
44,0.0,-0.12500000000000006,1.000565210321092,False
45,0.0,-0.15294117647058827,1.000565210321092,False
46,0.0,-0.14500000000000002,1.000565210321092,False
47,0.0,-0.19999999999999998,1.000565210321092,False
48,0.0,-0.12432432432432436,1.000565210321092,False
49,0.010000000000218279,-0.11084337349397574,1.000565210321092,False
50,0.0,-0.12571428571428578,1.000565210321092,False
51,0.0,-0.12000000000000001,1.000565210321092,False
52,0.010000000000218279,-0.10841121495327083,1.000565210321092,False
53,0.0,-0.14500000000000002,1.000565210321092,False
54,0.010000000000218279,-0.1104651162790696,1.000565210321092,False
55,0.0,-0.27999999999999997,1.000565210321092,False
56,0.0,-0.11071428571428556,1.000565210321092,False
57,0.009999999999308784,-0.11799999999999997,1.000565210321092,False
58,0.0,-0.13214285714285717,1.000565210321092,False
59,0.010000000000218279,-0.12432432432432436,1.000565210321092,False
60,0.0,-0.12195121951219516,1.000565210321092,False
61,0.010000000000218279,-0.13600000000000004,1.000565210321092,False
62,0.0,-0.11304347826086944,1.000565210321092,False
63,0.010000000000218279,-0.11764705882352938,1.000565210321092,False
64,0.009999999999308784,-0.11058823529411749,1.000565210321092,False
65,0.0,-0.11836734693877549,1.000565210321092,False
66,0.010000000000218279,-0.10769230769230748,1.000565210321092,False
67,0.010000000000218279,-0.11097560975609741,1.000565210321092,False
68,0.010000000000218279,-0.12195121951219516,1.000565210321092,False
69,0.0,-0.11475409836065566,1.000565210321092,False
70,0.0,-0.2285714285714286,1.000565210321092,False
71,0.0,-0.11914893617021276,1.000565210321092,False
72,0.010000000000218279,-0.11343283582089542,1.000565210321092,False
73,0.0,-0.11578947368421046,1.000565210321092,False
74,0.0,-0.11216216216216203,1.000565210321092,False
75,0.010000000000218279,-0.12045454545454547,1.000565210321092,False
76,0.009999999999308784,-0.10918367346938757,1.000565210321092,False
77,0.0,-0.12045454545454547,1.000565210321092,False
78,0.010000000000218279,-0.11323529411764695,1.000565210321092,False
79,0.0,-0.11578947368421046,1.000565210321092,False
80,0.0,-0.11216216216216203,1.000565210321092,False
81,0.010000000000218279,-0.11799999999999997,1.000565210321092,False
82,0.009999999999308784,-0.10989010989010971,1.000565210321092,False
83,0.0,-0.18181818181818182,1.000565210321092,False
84,0.0,-0.12000000000000001,1.000565210321092,False
85,0.0,-0.13333333333333336,1.000565210321092,False
86,0.0,-0.12000000000000001,1.000565210321092,False
87,0.0,-0.12195121951219516,1.000565210321092,False
88,0.010000000000218279,-0.11267605633802805,1.000565210321092,False
89,0.0,-0.12307692307692314,1.000565210321092,False
90,0.010000000000218279,-0.12368421052631584,1.000565210321092,False
91,0.0,-0.12727272727272732,1.000565210321092,False
92,0.009999999999308784,-0.11304347826086944,1.000565210321092,False
93,0.0,-0.11525423728813551,1.000565210321092,False
94,0.0,-0.13913043478260873,1.000565210321092,False
95,0.0,-0.13214285714285717,1.000565210321092,False
96,0.020000000000436557,-0.10426540284360203,1.000565210321092,False
97,0.009999999999308784,-0.12045454545454547,1.000565210321092,False
98,0.0,-0.13103448275862073,1.000565210321092,False
99,0.010000000000218279,-0.11836734693877549,1.000565210321092,False
100,0.010000000000218279,-0.10762711864406758,1.000565210321092,False
101,0.0,-0.15294117647058827,1.000565210321092,False
102,0.0,-0.16923076923076924,1.000565210321092,False
103,0.010000000000218279,-0.111392405063291,1.000565210321092,False
104,0.0,-0.13103448275862073,1.000565210321092,False
105,0.010000000000218279,-0.10762711864406758,1.000565210321092,False
106,0.0,-0.15625,1.000565210321092,False
107,0.0,-0.13333333333333336,1.000565210321092,False
108,0.010000000000218279,-0.12571428571428578,1.000565210321092,False
109,0.010000000000218279,-0.1104651162790696,1.000565210321092,False
110,0.0,-0.11216216216216203,1.000565210321092,False
111,0.0,-0.1090909090909089,1.000565210321092,False
112,0.010000000000218279,-0.11323529411764695,1.000565210321092,False
113,0.010000000000218279,-0.11267605633802805,1.000565210321092,False
114,0.0,-0.15625,1.000565210321092,False
115,0.0,-0.16923076923076924,1.000565210321092,False
116,0.0,-0.12307692307692314,1.000565210321092,False
117,0.009999999999308784,-0.11525423728813551,1.000565210321092,False
118,0.0,-0.1140624999999999,1.000565210321092,False
119,0.010000000000218279,-0.11730769230769227,1.000565210321092,False
120,0.0,-0.25,1.000565210321092,False
121,0.020000000000436557,-0.10478723404255316,1.000565210321092,False
122,0.0,-0.11836734693877549,1.000565210321092,False
123,0.009999999999308784,-0.14090909090909093,1.000565210321092,False
124,0.0,-0.111392405063291,1.000565210321092,False
125,0.0,-0.15625,1.000565210321092,False
126,0.0,-0.11525423728813551,1.000565210321092,False
127,0.0,-0.10957446808510621,1.000565210321092,False
128,0.010000000000218279,-0.1140624999999999,1.000565210321092,False
129,0.010000000000218279,-0.10891089108910872,1.000565210321092,False
130,0.009999999999308784,-0.11666666666666661,1.000565210321092,False
131,0.0,-0.13000000000000003,1.000565210321092,False
132,0.010000000000218279,-0.11764705882352938,1.000565210321092,False
133,0.010000000000218279,-0.10681818181818159,1.000565210321092,False
134,0.0,-0.11184210526315776,1.000565210321092,False
135,0.009999999999308784,-0.10692307692307669,1.000565210321092,False
136,0.0,-0.11304347826086944,1.000565210321092,False
137,0.010000000000218279,-0.11199999999999986,1.000565210321092,False
138,0.0,-0.12903225806451618,1.000565210321092,False
139,0.010000000000218279,-0.1089999999999998,1.000565210321092,False
140,0.010000000000218279,-0.11475409836065566,1.000565210321092,False
141,0.0,-0.12647058823529417,1.000565210321092,False
142,0.009999999999308784,-0.11475409836065566,1.000565210321092,False
143,0.010000000000218279,-0.10703124999999977,1.000565210321092,False
144,0.010000000000218279,-0.10719999999999978,1.000565210321092,False
145,0.009999999999308784,-0.10697674418604629,1.000565210321092,False
146,0.0,-0.12903225806451618,1.000565210321092,False
147,0.0,-0.12727272727272732,1.000565210321092,False
148,0.0,-0.12142857142857147,1.000565210321092,False
149,0.0,-0.13600000000000004,1.000565210321092,False
150,0.0,-0.12000000000000001,1.000565210321092,False
151,0.010000000000218279,-0.11836734693877549,1.000565210321092,False
152,0.0,-0.12500000000000006,1.000565210321092,False
153,0.0,-0.11914893617021276,1.000565210321092,False
154,0.0,-0.12571428571428578,1.000565210321092,False
155,0.0,-0.11475409836065566,1.000565210321092,False
156,0.010000000000218279,-0.11499999999999992,1.000565210321092,False
157,0.010000000000218279,-0.10502793296089376,1.000565210321092,False
158,0.009999999999308784,-0.11428571428571419,1.000565210321092,False
159,0.010000000000218279,-0.10989010989010971,1.000565210321092,False
